county_id,date,unemployment_rate,sahm_value
49005,1990-01-01,3.8,NaN
49005,1990-02-01,3.9,NaN
49005,1990-03-01,4.1,NaN
49005,1990-04-01,4.6,NaN
49005,1990-05-01,4.3,NaN
49005,1990-06-01,4.5,NaN
49005,1990-07-01,4.2,NaN
49005,1990-08-01,4.6,NaN
49005,1990-09-01,3.8,NaN
49005,1990-10-01,3.4,NaN
49005,1990-11-01,3.1,NaN
49005,1990-12-01,3.1,NaN
49005,1991-01-01,3.9,NaN
49005,1991-02-01,4,NaN
49005,1991-03-01,4,0.77
49005,1991-04-01,3.3,0.57
49005,1991-05-01,3.1,0.27
49005,1991-06-01,3.9,0.23
49005,1991-07-01,4.2,0.53
49005,1991-08-01,4.1,0.87
49005,1991-09-01,3.3,0.67
49005,1991-10-01,2.9,0.23
49005,1991-11-01,2.5,0.00
49005,1991-12-01,2.5,0.00
49005,1992-01-01,3.2,0.10
49005,1992-02-01,4.1,0.63
49005,1992-03-01,4.1,1.17
49005,1992-04-01,4.4,1.57
49005,1992-05-01,4.6,1.73
49005,1992-06-01,4.8,1.97
49005,1992-07-01,3.8,1.77
49005,1992-08-01,3.8,1.50
49005,1992-09-01,3,0.90
49005,1992-10-01,2.8,0.57
49005,1992-11-01,2.6,0.17
49005,1992-12-01,2.9,0.13
49005,1993-01-01,3.5,0.27
49005,1993-02-01,3.6,0.57
49005,1993-03-01,3.4,0.73
49005,1993-04-01,3.3,0.67
49005,1993-05-01,3.3,0.57
49005,1993-06-01,3.7,0.67
49005,1993-07-01,3.2,0.63
49005,1993-08-01,3,0.53
49005,1993-09-01,2.8,0.23
49005,1993-10-01,2.7,0.07
49005,1993-11-01,2.3,0.00
49005,1993-12-01,2.3,0.00
49005,1994-01-01,3.1,0.13
49005,1994-02-01,3.3,0.47
49005,1994-03-01,3.2,0.77
49005,1994-04-01,2.8,0.67
49005,1994-05-01,2.7,0.47
49005,1994-06-01,3.4,0.53
49005,1994-07-01,3.2,0.67
49005,1994-08-01,3.4,0.90
49005,1994-09-01,2.8,0.70
49005,1994-10-01,2.7,0.53
49005,1994-11-01,2.5,0.23
49005,1994-12-01,2.4,0.10
49005,1995-01-01,3.2,0.17
49005,1995-02-01,3.5,0.50
49005,1995-03-01,3.3,0.80
49005,1995-04-01,3.1,0.77
49005,1995-05-01,3,0.60
49005,1995-06-01,3.6,0.70
49005,1995-07-01,3.3,0.77
49005,1995-08-01,3.3,0.87
49005,1995-09-01,2.8,0.60
49005,1995-10-01,2.4,0.30
49005,1995-11-01,2.4,0.00
49005,1995-12-01,2.3,0.00
49005,1996-01-01,3.3,0.30
49005,1996-02-01,3.3,0.60
49005,1996-03-01,3.1,0.87
49005,1996-04-01,2.8,0.70
49005,1996-05-01,2.9,0.57
49005,1996-06-01,3.4,0.67
49005,1996-07-01,3.3,0.83
49005,1996-08-01,3.2,0.93
49005,1996-09-01,2.6,0.67
49005,1996-10-01,2.4,0.37
49005,1996-11-01,2.3,0.07
49005,1996-12-01,2.3,0.00
49005,1997-01-01,3.2,0.27
49005,1997-02-01,3.2,0.57
49005,1997-03-01,2.9,0.77
49005,1997-04-01,2.6,0.57
49005,1997-05-01,2.3,0.27
49005,1997-06-01,2.9,0.27
49005,1997-07-01,2.7,0.30
49005,1997-08-01,2.8,0.47
49005,1997-09-01,2.2,0.23
49005,1997-10-01,2.1,0.03
49005,1997-11-01,1.9,0.00
49005,1997-12-01,2,0.00
49005,1998-01-01,2.9,0.27
49005,1998-02-01,3.1,0.67
49005,1998-03-01,3.3,1.10
49005,1998-04-01,2.8,1.07
