county_id,date,unemployment_rate,sahm_value
13279,1990-01-01,6.4,NaN
13279,1990-02-01,4.7,NaN
13279,1990-03-01,11.9,NaN
13279,1990-04-01,4.7,NaN
13279,1990-05-01,4.9,NaN
13279,1990-06-01,6.5,NaN
13279,1990-07-01,6.9,NaN
13279,1990-08-01,6.7,NaN
13279,1990-09-01,6.1,NaN
13279,1990-10-01,5.8,NaN
13279,1990-11-01,5.4,NaN
13279,1990-12-01,6.2,NaN
13279,1991-01-01,6.1,NaN
13279,1991-02-01,6.1,NaN
13279,1991-03-01,6.2,0.77
13279,1991-04-01,5.6,0.60
13279,1991-05-01,6,0.57
13279,1991-06-01,7.4,0.97
13279,1991-07-01,7.3,1.13
13279,1991-08-01,7.7,1.70
13279,1991-09-01,6.4,1.37
13279,1991-10-01,6.1,0.97
13279,1991-11-01,6.5,0.57
13279,1991-12-01,7.3,0.83
13279,1992-01-01,9,1.70
13279,1992-02-01,10.8,3.10
13279,1992-03-01,9.2,3.73
13279,1992-04-01,8.1,3.43
13279,1992-05-01,9.5,3.00
13279,1992-06-01,10.9,3.17
13279,1992-07-01,10.3,3.90
13279,1992-08-01,9.1,3.77
13279,1992-09-01,8.3,2.90
13279,1992-10-01,8.4,2.27
13279,1992-11-01,8.9,2.20
13279,1992-12-01,9.1,2.17
13279,1993-01-01,10.3,1.83
13279,1993-02-01,9.3,1.03
13279,1993-03-01,7.7,0.57
13279,1993-04-01,7.5,0.00
13279,1993-05-01,7.7,0.00
13279,1993-06-01,9.5,0.60
13279,1993-07-01,8.6,0.97
13279,1993-08-01,8.9,1.37
13279,1993-09-01,8,0.87
13279,1993-10-01,8.5,0.83
13279,1993-11-01,8.4,0.67
13279,1993-12-01,8.3,0.77
13279,1994-01-01,9.6,1.13
13279,1994-02-01,9.2,1.40
13279,1994-03-01,7.2,1.03
13279,1994-04-01,7.3,0.27
13279,1994-05-01,7.6,0.00
13279,1994-06-01,9,0.60
13279,1994-07-01,7.4,0.63
13279,1994-08-01,8.1,0.80
13279,1994-09-01,6.3,0.00
13279,1994-10-01,5.7,0.00
13279,1994-11-01,6.4,0.00
13279,1994-12-01,8.6,0.77
13279,1995-01-01,7.7,1.43
13279,1995-02-01,6.7,1.53
13279,1995-03-01,5.6,0.53
13279,1995-04-01,5.4,0.00
13279,1995-05-01,6.7,0.00
13279,1995-06-01,7.8,0.73
13279,1995-07-01,6.6,1.13
13279,1995-08-01,6,0.90
13279,1995-09-01,5.8,0.23
13279,1995-10-01,5.3,0.00
13279,1995-11-01,8.3,0.77
13279,1995-12-01,6.2,0.90
13279,1996-01-01,7.7,1.70
13279,1996-02-01,7.9,1.57
13279,1996-03-01,7.2,1.90
13279,1996-04-01,6.5,1.50
13279,1996-05-01,8.4,1.67
13279,1996-06-01,10.7,2.83
13279,1996-07-01,10.5,4.17
13279,1996-08-01,9.8,4.63
13279,1996-09-01,8.5,3.90
13279,1996-10-01,8.2,3.13
13279,1996-11-01,8,1.77
13279,1996-12-01,9.1,1.83
13279,1997-01-01,12.7,2.73
13279,1997-02-01,10.8,3.67
13279,1997-03-01,10.5,4.13
13279,1997-04-01,9.3,3.00
13279,1997-05-01,10.1,2.60
13279,1997-06-01,10.4,1.70
13279,1997-07-01,8.5,1.43
13279,1997-08-01,10.2,1.47
13279,1997-09-01,8.2,0.73
13279,1997-10-01,7.3,0.33
13279,1997-11-01,8.4,0.00
13279,1997-12-01,8.7,0.17
13279,1998-01-01,9.8,1.00
13279,1998-02-01,8.6,1.07
13279,1998-03-01,8.9,1.13
13279,1998-04-01,8.3,0.63
13279,1998-05-01,9.9,1.07
13279,1998-06-01,11,1.77
13279,1998-07-01,9.4,2.13
13279,1998-08-01,9,1.83
13279,1998-09-01,8.1,0.87
13279,1998-10-01,8.4,0.53
13279,1998-11-01,8.4,0.33
13279,1998-12-01,8.8,0.40
13279,1999-01-01,9.1,0.47
13279,1999-02-01,8.6,0.53
13279,1999-03-01,8.9,0.57
13279,1999-04-01,9.1,0.57
13279,1999-05-01,9.4,0.83
13279,1999-06-01,11.2,1.60
13279,1999-07-01,10.6,2.10
13279,1999-08-01,10.7,2.53
13279,1999-09-01,9.2,1.87
13279,1999-10-01,8.4,1.13
13279,1999-11-01,9.1,0.60
13279,1999-12-01,12,1.30
13279,2000-01-01,6.8,0.53
13279,2000-02-01,6.6,0.00
13279,2000-03-01,6.2,0.00
13279,2000-04-01,6.2,0.00
13279,2000-05-01,6.6,0.00
