county_id,date,unemployment_rate,sahm_value
29027,1990-01-01,5.3,NaN
29027,1990-02-01,5.4,NaN
29027,1990-03-01,4.7,NaN
29027,1990-04-01,4.2,NaN
29027,1990-05-01,4.2,NaN
29027,1990-06-01,4.2,NaN
29027,1990-07-01,5.5,NaN
29027,1990-08-01,4,NaN
29027,1990-09-01,3.7,NaN
29027,1990-10-01,3.5,NaN
29027,1990-11-01,3.6,NaN
29027,1990-12-01,4.2,NaN
29027,1991-01-01,5.6,NaN
29027,1991-02-01,6,NaN
29027,1991-03-01,5.2,2.00
29027,1991-04-01,4.5,1.63
29027,1991-05-01,5.2,1.37
29027,1991-06-01,5.6,1.50
29027,1991-07-01,5.2,1.73
29027,1991-08-01,5,1.67
29027,1991-09-01,4.5,1.30
29027,1991-10-01,4.6,1.10
29027,1991-11-01,4.6,0.97
29027,1991-12-01,5,0.97
29027,1992-01-01,5.9,0.70
29027,1992-02-01,6.3,1.17
29027,1992-03-01,5.4,1.30
29027,1992-04-01,4.7,0.90
29027,1992-05-01,5,0.47
29027,1992-06-01,5.2,0.40
29027,1992-07-01,5.6,0.70
29027,1992-08-01,5.1,0.73
29027,1992-09-01,4.3,0.43
29027,1992-10-01,4,0.00
29027,1992-11-01,4.5,0.00
29027,1992-12-01,4.8,0.17
29027,1993-01-01,6.4,0.97
29027,1993-02-01,6.2,1.53
29027,1993-03-01,6.3,2.03
29027,1993-04-01,5.9,1.87
29027,1993-05-01,5.9,1.77
29027,1993-06-01,5.7,1.57
29027,1993-07-01,5.5,1.43
29027,1993-08-01,5.4,1.27
29027,1993-09-01,4.6,0.90
29027,1993-10-01,4.4,0.53
29027,1993-11-01,4.2,0.13
29027,1993-12-01,4.7,0.03
29027,1994-01-01,5.5,0.40
29027,1994-02-01,5.2,0.73
29027,1994-03-01,4.9,0.80
29027,1994-04-01,3.8,0.23
29027,1994-05-01,3.5,0.00
29027,1994-06-01,3.5,0.00
29027,1994-07-01,3.6,0.00
29027,1994-08-01,3.5,0.00
29027,1994-09-01,3.1,0.00
29027,1994-10-01,2.9,0.00
29027,1994-11-01,3,0.00
29027,1994-12-01,3.7,0.20
29027,1995-01-01,4.3,0.67
29027,1995-02-01,3.8,0.93
29027,1995-03-01,3.6,0.90
29027,1995-04-01,3,0.47
29027,1995-05-01,4,0.53
29027,1995-06-01,4.1,0.70
29027,1995-07-01,4.1,1.07
29027,1995-08-01,4.1,1.10
29027,1995-09-01,3.4,0.87
29027,1995-10-01,2.8,0.43
29027,1995-11-01,2.7,0.00
29027,1995-12-01,2.8,0.00
29027,1996-01-01,4.1,0.43
29027,1996-02-01,4.2,0.93
29027,1996-03-01,4.3,1.43
29027,1996-04-01,3.9,1.37
29027,1996-05-01,4.3,1.40
29027,1996-06-01,4.2,1.37
29027,1996-07-01,4.2,1.47
29027,1996-08-01,3.7,1.27
29027,1996-09-01,3.2,0.93
29027,1996-10-01,3.1,0.57
29027,1996-11-01,3.5,0.50
29027,1996-12-01,3.7,0.67
29027,1997-01-01,4.5,0.70
29027,1997-02-01,4.2,0.87
29027,1997-03-01,4,0.97
29027,1997-04-01,3.1,0.50
29027,1997-05-01,3.2,0.17
29027,1997-06-01,4.2,0.23
29027,1997-07-01,3.3,0.30
29027,1997-08-01,3.4,0.37
29027,1997-09-01,2.9,0.00
29027,1997-10-01,3.2,0.00
29027,1997-11-01,2.7,0.00
29027,1997-12-01,3.9,0.33
29027,1998-01-01,4.3,0.70
29027,1998-02-01,3.8,1.07
29027,1998-03-01,4.1,1.13
29027,1998-04-01,3.1,0.73
29027,1998-05-01,4.2,0.87
29027,1998-06-01,4.3,0.93
29027,1998-07-01,3.6,1.10
29027,1998-08-01,3.7,0.93
29027,1998-09-01,3.1,0.53
29027,1998-10-01,2.6,0.20
29027,1998-11-01,2.6,0.00
29027,1998-12-01,2.7,0.00
29027,1999-01-01,3.2,0.20
29027,1999-02-01,2.7,0.23
29027,1999-03-01,2.7,0.23
29027,1999-04-01,2.3,0.00
29027,1999-05-01,2.4,0.00
29027,1999-06-01,3.2,0.17
29027,1999-07-01,2.7,0.30
29027,1999-08-01,2.6,0.37
29027,1999-09-01,1.8,0.00
29027,1999-10-01,1.2,0.00
29027,1999-11-01,1.6,0.00
29027,1999-12-01,1.8,0.00
29027,2000-01-01,2.7,0.50
29027,2000-02-01,2.9,0.93
29027,2000-03-01,3,1.33
29027,2000-04-01,2.4,1.23
29027,2000-05-01,2.9,1.23
