county_id,date,unemployment_rate,sahm_value
29125,1990-01-01,7.2,NaN
29125,1990-02-01,8.7,NaN
29125,1990-03-01,6.9,NaN
29125,1990-04-01,6.1,NaN
29125,1990-05-01,5.5,NaN
29125,1990-06-01,6.2,NaN
29125,1990-07-01,6.4,NaN
29125,1990-08-01,7.7,NaN
29125,1990-09-01,6.6,NaN
29125,1990-10-01,5.3,NaN
29125,1990-11-01,6.3,NaN
29125,1990-12-01,12.9,NaN
29125,1991-01-01,7.9,NaN
29125,1991-02-01,9.1,NaN
29125,1991-03-01,7.6,2.27
29125,1991-04-01,6.4,1.77
29125,1991-05-01,7.3,1.17
29125,1991-06-01,8.1,1.33
29125,1991-07-01,7.2,1.50
29125,1991-08-01,6.5,1.20
29125,1991-09-01,5.4,0.30
29125,1991-10-01,5.6,0.00
29125,1991-11-01,5.5,0.00
29125,1991-12-01,6,0.20
29125,1992-01-01,7.4,0.80
29125,1992-02-01,7.1,1.33
29125,1992-03-01,10.8,2.93
29125,1992-04-01,11.3,4.23
29125,1992-05-01,12.2,5.93
29125,1992-06-01,11.8,6.27
29125,1992-07-01,10,5.83
29125,1992-08-01,9,4.77
29125,1992-09-01,7.2,3.23
29125,1992-10-01,6.1,1.93
29125,1992-11-01,6.7,1.17
29125,1992-12-01,7.1,0.93
29125,1993-01-01,9.8,1.57
29125,1993-02-01,9.9,2.30
29125,1993-03-01,10,3.27
29125,1993-04-01,10.3,3.43
29125,1993-05-01,7.1,2.50
29125,1993-06-01,7.8,1.77
29125,1993-07-01,7.4,0.80
29125,1993-08-01,6.2,0.50
29125,1993-09-01,5.3,0.00
29125,1993-10-01,5.1,0.00
29125,1993-11-01,4.6,0.00
29125,1993-12-01,5.5,0.07
29125,1994-01-01,5.7,0.27
29125,1994-02-01,6.3,0.83
29125,1994-03-01,5.8,0.93
29125,1994-04-01,5.1,0.73
29125,1994-05-01,4.6,0.17
29125,1994-06-01,4.1,0.00
29125,1994-07-01,4.6,0.00
29125,1994-08-01,3.3,0.00
29125,1994-09-01,2.8,0.00
29125,1994-10-01,3.4,0.00
29125,1994-11-01,3,0.00
29125,1994-12-01,3.3,0.17
29125,1995-01-01,5.4,0.83
29125,1995-02-01,5.6,1.70
29125,1995-03-01,4.2,2.00
29125,1995-04-01,4.6,1.73
29125,1995-05-01,5.8,1.80
29125,1995-06-01,5.2,2.13
29125,1995-07-01,5.6,2.47
29125,1995-08-01,4.3,1.97
29125,1995-09-01,3.3,1.33
29125,1995-10-01,2.8,0.40
29125,1995-11-01,2.5,0.00
29125,1995-12-01,2.7,0.00
29125,1996-01-01,4.4,0.53
29125,1996-02-01,4.6,1.23
29125,1996-03-01,4.8,1.93
29125,1996-04-01,4.6,2.00
29125,1996-05-01,5.2,2.20
29125,1996-06-01,5.5,2.43
29125,1996-07-01,5.8,2.83
29125,1996-08-01,5.3,2.87
